title_EN,title_FR,image-front,image-back,toggle,name,caption_EN,caption_FR
,,/assets/images/christophe/album/1941francine.png,,,1941 Francine,1941,"De Clisson, il nous envoie sa photo avec la barbe et les joues creuses.» (Une petite fille privilégiée, p.12)"
,,/assets/images/christophe/album/1942esthermarcellefrancine.png,,,1941 Esther Marcelle Francine,"1941 - Esther, Marcelle et Francine","1941 - Esther, Marcelle et Francine"
,,/assets/images/christophe/album/1942marcelle.png,,,1942 Marcelle,1942,1942
,,/assets/images/christophe/album/1942marcellechezevard.png,,,1942 Marcelle chez Evard,1942 - Easter at the Evards',1942 - Pâques chez les Evard
,,/assets/images/christophe/album/1942marcelleetfrancine.png,,,1942 Marcelle et Francine,1942,1942
,,/assets/images/christophe/album/etoilefrancine.jpg,,,Etoile Francine,Francine' star,Etoile de Francine
,,/assets/images/christophe/album/1945retour.png,,,1945 Retour ,1945 - Return,1945 - Le retour
,,/assets/images/christophe/album/1945nicemarcelle.png,,,1945 Nice Marcelle,1945 - Marcelle in Nice,1945 - Marcelle à Nice
,,/assets/images/christophe/album/1945nicerobertmarcelle.png,,,1945 Nice Robert Marcelle,1945 - Nice,1945 - Nice
,,/assets/images/christophe/album/1946parcmonceau.png,,,1946 Parc Monceau,1946 - Francine in the Monceau Park,1946 - Francine au parc Monceau
,,/assets/images/christophe/album/1948estheretlafamille.png,,,1948 Esther et la famille,1948,1948
,,/assets/images/christophe/album/1948francineetmarcelle.png,,,1948 Francine et Marcelle,1948,1948
,,/assets/images/christophe/album/1948vacancesenfamille.png,,,1948 vacances en famille,1948,1948
,,/assets/images/christophe/album/1948marcellerobertfrancine.png,,,1948 Marcelle Robert Francine,1948,1948
,,/assets/images/christophe/album/1948post-operation.png,,,1948 post-operation,"1948 - ""After three years of suffering, Marcelle underwent a delicate surgery of her spine. Here she is in 1948, recovering, with Robert and Francine who is entering her fifteen year.""",1948 - Convalescence
,,/assets/images/christophe/album/francinepary.png,,,Francine Pary,circa 1952- Francine and Esther in front of the latter's boutique,"circa 1952 - Francine et Esther devant la boutique de celle-ci peu de temps avant sa mort. «(En revenant de là-bas, moi, ton unique petite-fille, je te redonnais la joie, la vie. Tu m'emmenais voir des tableaux, moi qui ne connaissais que l'horreur. Tu me frottais le dos à la lavande. Tu me disais : «Un mot grossier, oui, mais avec distinction. Un mot vulgaire, jamais ! ») »(Après les camps, la vie. p.75)"
,,/assets/images/christophe/album/1955marcelleetclo.png,,,1955  Marcelle et Clo,1955 - Marcelle and Clo Avy in Grasse,1955 - Marcelle et Clo Avy à Grasse
,,/assets/images/christophe/album/1955cloetmarcelle.png,,,1955 Clo et Marcelle,,
,,/assets/images/christophe/album/1955marcelleetclo2.png,,,1955 Marcelle et Clo 2,,
,,/assets/images/christophe/album/1955robertetclo.png,,,1955 Robert et Clo,Robert and Clo,Robert et Clo Avy
,,/assets/images/christophe/album/1957mariagefrancine.png,,,1957 Mariage Francine,1957 - Wedding of Francine to Jean-Jacques Lorch,1957 - Mariage de Francine et Jean-Jacques Lorch
